id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5295,beautiful 1br on upper west side,7702,lena,manhattan,upper west side,40.80316,-73.96545,entire home/apt,135,5,53,2019-06-22,0.43,1,6
7801,sweet and spacious brooklyn loft,21207,chaya,brooklyn,williamsburg,40.71842,-73.95718,entire home/apt,299,3,9,2011-12-28,0.07,1,0
8505,sunny bedroom across prospect park,25326,gregory,brooklyn,windsor terrace,40.65599,-73.97519,private room,60,1,19,2019-06-23,1.37,2,85
8700,magnifique suite au n de manhattan - vue cloitres,26394,claude & sophie,manhattan,inwood,40.86754,-73.92639,private room,80,4,0,0,0.0,1,0
13050,bright and stylish duplex,50846,jennifer,brooklyn,bedford-stuyvesant,40.68554,-73.9409,entire home/apt,115,3,11,2017-01-01,0.1,1,0
16458,light-filled 2b duplex in the heart of park slope!,64056,sara,brooklyn,park slope,40.67343,-73.98338,entire home/apt,225,3,4,2017-09-24,0.16,1,0
17037,lovely ev artist's home,66035,anna,manhattan,east village,40.72162,-73.98008,entire home/apt,230,9,49,2018-05-14,0.43,1,116
17092,cool room in hell's kitchen,66243,enzo,manhattan,hell's kitchen,40.76342,-73.98865,private room,51,7,23,2019-06-01,0.43,1,88
19282,"sunny, spacious top floor haven",73469,gaia,brooklyn,flatbush,40.65401,-73.96323,entire home/apt,130,6,16,2019-06-15,0.15,1,38
20300,great location for nyc,76627,pas,manhattan,east village,40.72912,-73.98057,private room,50,1,2,2016-02-14,0.05,1,0
20853,2-bed brownstone duplex + garden,79070,tracy,brooklyn,prospect heights,40.68035,-73.97162,entire home/apt,250,7,21,2019-05-21,0.3,1,158
26559,beautiful apartment east village,112793,sally,manhattan,east village,40.7288,-73.98192,entire home/apt,140,7,12,2017-12-11,0.13,1,164
27006,comfortable uws 2-bd family-friendly brownstone,115560,stacy,manhattan,upper west side,40.77823,-73.97637,entire home/apt,235,6,27,2019-04-27,0.27,1,199
27883,east village sanctuary,120223,jen,manhattan,east village,40.72245,-73.98527,entire home/apt,100,4,25,2011-12-10,0.23,1,0
28907,garden studio in the upper east sid,124352,lisa,manhattan,upper east side,40.778,-73.94822,entire home/apt,150,5,21,2017-08-15,0.19,1,189
30927,unique & charming small 1br apt. les,120335,cs,manhattan,lower east side,40.71341,-73.98856,entire home/apt,105,3,32,2019-06-14,0.29,1,16
31902,sanctuary in east flatbush,137292,sunder,brooklyn,flatlands,40.63188,-73.93248,private room,77,2,2,2019-01-01,0.02,1,178
32331,"sunny, cobble hill apartment",139874,sarah,brooklyn,cobble hill,40.6857,-73.99183,entire home/apt,140,2,4,2016-04-24,0.04,1,0
32969,light filled williamsburg apartment,142833,katherine,brooklyn,williamsburg,40.71596,-73.93938,entire home/apt,160,3,11,2019-07-02,0.11,1,188
36647,private bdrm/bathrm. new! elevator!,157798,irene,manhattan,east harlem,40.79295,-73.93997,private room,69,2,34,2017-05-29,0.32,1,10
36934,great location in williamsburg,159370,viviana,brooklyn,williamsburg,40.71363,-73.96398,entire home/apt,125,6,27,2018-12-27,0.25,1,189
40039,luxurious condo in dubmo with view,171851,henry,brooklyn,dumbo,40.70207,-73.98571,private room,250,3,14,2011-04-25,0.13,1,189
41513,convenient cozy cheap apt manhattan,181167,lorenzo,manhattan,harlem,40.82704,-73.94907,entire home/apt,80,3,2,2015-11-02,0.04,1,0
43957,sunny cozy room in brklyn townhouse,177536,tessa,brooklyn,bushwick,40.70641,-73.91765,private room,50,2,47,2019-06-19,0.94,1,37
45542,clean and cozy harlem apartment,202249,campbell,manhattan,harlem,40.82374,-73.9373,entire home/apt,100,2,18,2018-12-17,1.79,1,0
45940,bright spacious luxury condo,204724,miyoung,brooklyn,williamsburg,40.71627,-73.9587,entire home/apt,200,4,33,2019-04-08,0.58,1,1
46544,park slope haven 15 mins from soho,8198,monica,brooklyn,park slope,40.67994,-73.97863,entire home/apt,150,5,52,2019-06-05,0.5,1,18
47370,chelsea studio sublet 1 - 2 months,214287,alex,manhattan,chelsea,40.74031,-73.99999,entire home/apt,125,3,3,2015-07-17,0.03,1,0
53137,"quiet, sunny midtown manhattan apt.",240360,marlaine,manhattan,hell's kitchen,40.76244,-73.99271,entire home/apt,195,5,10,2019-07-01,1.01,1,0
53196,big room/washer-dryer/wifi/ac/jmz,247432,charlotte,brooklyn,bedford-stuyvesant,40.69546,-73.93503,private room,80,2,11,2017-11-13,0.48,1,0
55498,modern comfort in art infused landmark brownstone,262138,tami,brooklyn,bedford-stuyvesant,40.6829,-73.93549,private room,71,2,23,2019-07-01,0.22,1,91
55982,cozy 2 br in sunny fort greene apt,264928,sally,brooklyn,fort greene,40.68656,-73.97525,private room,68,3,37,2018-12-31,0.35,1,0
